0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:15 +0530] "GET /server/api/core/items/05a5ba66-39c0-4a65-b1e9-ea2c02eddf53/bundles?size=9999 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:16 +0530] "GET /server/api/core/bundles/73c55df0-1467-4b4b-a162-dd9e6dc6eb7d/bitstreams?page=0&size=5 HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:16 +0530] "GET /server/api/core/bundles/73c55df0-1467-4b4b-a162-dd9e6dc6eb7d/bitstreams?page=0&size=5 HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:16 +0530] "GET /server/api/core/items/05a5ba66-39c0-4a65-b1e9-ea2c02eddf53/bundles?size=9999 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:16 +0530] "GET /server/api/core/bitstreams/7759f18d-88bd-47af-8d60-20783fb5f0fb/content HTTP/1.1" 500 238
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:23 +0530] "GET /server/api/discover/search/objects?configuration=default&sort=score%2CDESC&page=0&size=10&dsoType=item&scope=undefined&query=hello&embed=thumbnail&embed=item/thumbnail HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:23 +0530] "GET /server/api/discover/facets/entityType?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined&query=hello HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:23 +0530] "GET /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined&query=hello HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:23 +0530] "GET /server/api/discover/facets/subject?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined&query=hello HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:23 +0530] "GET /server/api/discover/facets/author?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined&query=hello HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:24:23 +0530] "GET /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined&query=hello HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:26:04 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:27:06 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:27:06 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:27:06 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:27:06 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:27:06 +0530] "GET /server/api/discover/search/objects?configuration=default&sort=score%2CDESC&page=0&size=10&dsoType=item&scope=undefined&query=hello&embed=thumbnail&embed=item/thumbnail HTTP/1.1" 200 2865
